Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined;
haluan;Pikiran dan Perjalanan;barasuara;08/03/2019;191704.0;34.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.572314049586777;0.8699969290613163;0.7536427218417603;0.03947916666666667;0.029241411510123477;0.0048484848484848485;0.046261154990255404;0.22998986828774065;0.45266046865857396;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
samara;Pikiran dan Perjalanan;barasuara;08/03/2019;223211.0;38.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.609504132231405;0.9252738253659535;0.8311234154159989;0.043645833333333335;0.0061458194576363015;0.003838383838383839;0.3742947994666119;0.48125633232016213;0.6129898113663171;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
tirai cahaya;Pikiran dan Perjalanan;barasuara;08/03/2019;229259.0;30.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.6373966942148761;0.8403111884532705;0.8073728690077226;0.0325;0.01959312240203484;0.03656565656565657;0.2850548774233254;0.3657548125633232;0.5140151761416936;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
pancarona sore;Pancarona (Sore);barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
bangkit dan berlari;Bangkit Dan Berlari;barasuara;08/08/2020;272249.0;34.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:12Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.5206611570247934;0.7747978298699969;0.7686871630482297;0.03927083333333333;0.03155298077560304;0.2101010101010101;0.3240332341778644;0.24113475177304966;0.4646973594999489;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
bangkit dan berlari instrumental;Bangkit Dan Berlari;barasuara;08/08/2020;274055.0;12.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:12Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.5888429752066116;0.7174736411096324;0.7344820049541018;0.029895833333333337;0.00565335470107761;0.9313131313131314;0.3281362190993948;0.14387031408308004;0.46453018046048544;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
merayakan asteriska dan puti;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.32644628099173556;0.8392875422254068;0.7958618679877605;0.044687500000000005;0.0020653971890071494;0.9565656565656566;0.38147502307929015;0.3373860182370821;0.7975368954852372;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
merayakan iga dan;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.3150826446280992;0.8044835704780428;0.8172810724173103;0.04927083333333334;0.06753305890785025;0.000978787878787879;0.13734742024823057;0.3059777102330294;0.7994780298878972;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
merayakan gerald;Memainkan Fana;barasuara;16/06/2023;286611.0;28.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.2892561983471075;0.8935407923021803;0.8250400699402594;0.060833333333333336;0.0969804412898291;0.0017373737373737375;0.3589086060108729;0.4609929078014185;0.7984378047534574;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
merayakan marco;Memainkan Fana;barasuara;16/06/2023;286611.0;26.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:17Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.37086776859504134;0.6120380796396765;0.8191024333381903;0.03354166666666667;0.08170398353535543;0.005484848484848485;0.28915786234485585;0.2857142857142857;0.39952075342020454;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
